Title;Artist;Genre;Keywords;Scores
Going Down South;The Black Keys;Blues;south, going, rather, chilly, dead, babe, blow, man, wind, i'd, hanging, six, ground, he's, i'm, feet, care, always, around, go;0.34, 0.323, 0.15, 0.129, 0.121, 0.121, 0.076, 0.074, 0.068, 0.046, 0.045, 0.037, 0.035, 0.031, 0.03, 0.03, 0.029, 0.019, 0.017, 0.009
Souled Out On You;Robert Finley;Blues;souled, sad, true, pity, we've, cryin, shame, matter, city, ain't, heart, spell, done, hard, i'm, understand, today, pray, still, save, hide, feel, nothin, whole, hell, pain, best, hand, try, world, man, us, gonna, got, put, that's, way, tell, say, yeah;0.396, 0.085, 0.066, 0.047, 0.047, 0.039, 0.034, 0.029, 0.026, 0.026, 0.022, 0.022, 0.02, 0.018, 0.017, 0.015, 0.015, 0.015, 0.014, 0.014, 0.014, 0.012, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.01, 0.009, 0.008, 0.008, 0.008, 0.007, 0.007, 0.006, 0.006, 0.006, 0.005, 0.004
Black Myself;Amythyst Kiah;Blues;black, washed, cause, horses, bred, shipping, lamb's, rotted, chattel, work, blood, stopped, anyway, sneer, banjo, i'm, gal, stand, surrounded, creek, creep, precious, away, sweep, bless, fence, doors, lock, test, anywhere, paper, wash, jump, brand, face, proud, shoes, born, lovin, wanna, ooh, pass, walkin, ground, tired, tears, arms, pick, bag, smile, many, feet, free, walk, round, god, new, gonna, still, there's, go, around, eyes, look, better, i've, right, i'll, see, ain't, yeah;0.329, 0.059, 0.054, 0.052, 0.047, 0.047, 0.047, 0.044, 0.044, 0.039, 0.033, 0.031, 0.03, 0.024, 0.024, 0.023, 0.022, 0.021, 0.021, 0.02, 0.019, 0.019, 0.018, 0.018, 0.017, 0.017, 0.016, 0.016, 0.016, 0.015, 0.015, 0.015, 0.015, 0.014, 0.014, 0.014, 0.014, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.012, 0.012, 0.011, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.008, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.005, 0.005, 0.004, 0.004, 0.004, 0.003
Mind’s Eye;Joe Bonamassa;Blues;curious, save, furious, mind's, crashing, someone, deeper, dig, sides, spiral, eye, reach, ones, comes, else, help, remember, whole, found, can't, damn, there's, i'd, mince, two, world, listen, desperate, slow, us, haunted, going, intentions, else's, around, keep, dime, locked, memories, calling, easy, lonely, hide, words, trying, need, wanted, door, mean, please, hell, place, times, nothing, break, talk, say, hard, really, well, know, leave, better, that's, way, i'm, see, back, go, get;0.08, 0.073, 0.072, 0.067, 0.065, 0.06, 0.058, 0.055, 0.053, 0.044, 0.043, 0.043, 0.039, 0.037, 0.035, 0.034, 0.033, 0.032, 0.031, 0.031, 0.029, 0.028, 0.027, 0.027, 0.025, 0.025, 0.025, 0.024, 0.022, 0.022, 0.022, 0.021, 0.021, 0.021, 0.02, 0.018, 0.017, 0.016, 0.015, 0.014, 0.013, 0.013, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.009, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007, 0.006, 0.005, 0.004, 0.004, 0.004, 0.004, 0.003
Poor Boy a Long Way From Home;The Black Keys;Blues;poor, boy, long, home, way, world, babe, can't, i'm, stay, gonna;0.388, 0.199, 0.179, 0.169, 0.1, 0.073, 0.035, 0.034, 0.03, 0.023, 0.022
Make It Rain;Gov't Mule;Blues;rain, make, born, sharpen, abel, wind's, stretched, knives, cain, moan, guest, gotta, night's, without, crushed, heavens, dark, gate, mercy, inside, looks, world, fate, thunder, quiet, hurts, whip, earth, pride, escape, trouble, mistakes, sad, shame, story, burning, promise, burn, heaven, got, kiss, comes, friend, can't, open, since, fire, hell, close, deep, nothing, pain, believe, gone, best, money, took, old, much, name, done, alone, another, oh, i'm, give, put, need, want, love, know;0.235, 0.098, 0.033, 0.03, 0.03, 0.03, 0.03, 0.027, 0.027, 0.027, 0.027, 0.026, 0.026, 0.025, 0.025, 0.025, 0.025, 0.021, 0.021, 0.02, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019, 0.018, 0.018, 0.018, 0.017, 0.017, 0.017, 0.017, 0.017, 0.017, 0.016, 0.015, 0.015, 0.015, 0.014, 0.014, 0.014, 0.014, 0.013, 0.013, 0.013, 0.012, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.009, 0.008, 0.008, 0.007, 0.006, 0.006, 0.004, 0.003
High And Lonesome;Robert Plant, Alison Krauss;Blues;despair, must, yell, tire, shall, loud, still, conspire, sing, louder, care, find, i'll, high, highway, deal, upon, would, mine, rest, unconversated, serpents, dance, open, seas, vine, door, love, lion, hell, dove, flood, lonesome, calm, every, naked, think, bare, mountain, shout, lift, seven, ocean, bottom, turning, meet, river, wild, words, free, lose, make, soul, alone, lost, well, leave, mind, take, oh, yeah, back, i'm;0.074, 0.073, 0.072, 0.069, 0.064, 0.061, 0.053, 0.044, 0.043, 0.037, 0.037, 0.037, 0.034, 0.032, 0.03, 0.027, 0.027, 0.024, 0.024, 0.022, 0.022, 0.022, 0.021, 0.02, 0.019, 0.019, 0.018, 0.018, 0.018, 0.017, 0.017, 0.017, 0.016, 0.016, 0.016, 0.016, 0.015, 0.015, 0.015, 0.015, 0.015, 0.013, 0.013, 0.013, 0.013, 0.012, 0.012, 0.011, 0.01, 0.009, 0.009, 0.008, 0.008, 0.007, 0.007, 0.007, 0.006, 0.006, 0.004, 0.003, 0.003, 0.003, 0.001
How High;The Record Company;Blues;high, fly, died, came, wanna, thought, baptize, breakaway, door's, shelter, woah, lose, life, ceiling, dig, highway, shadows, rising, raise, hole, tear, bottom, gotta, rolling, choose, faith, along, win, would, minute, easy, drop, back, morning, rain, ride, fight, lot, coming, close, wait, feeling, soul, place, something, stop, break, gonna, long, cause, could, way, let, make, see, oh, go;0.254, 0.074, 0.059, 0.036, 0.035, 0.034, 0.031, 0.031, 0.029, 0.029, 0.027, 0.024, 0.022, 0.022, 0.021, 0.021, 0.02, 0.02, 0.019, 0.019, 0.019, 0.019, 0.018, 0.018, 0.017, 0.017, 0.017, 0.017, 0.017, 0.016, 0.015, 0.015, 0.014, 0.014, 0.013, 0.013, 0.013, 0.013, 0.013, 0.012, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.011, 0.009, 0.009, 0.009, 0.007, 0.006, 0.006, 0.006, 0.005, 0.004, 0.004
Step In;Cedric Burnside;Blues;step, lord, please, sinkin, addict, bully, paranoid, fiendin, food, habit, bird, slowly, hungry, wings, test, trees, boat, cryin, hole, crack, child, tryin, rest, fly, broken, can't, comin, like, found, feel, gone, break, lost, back, long, put, keep, that's, night, get, got, i'm;0.108, 0.097, 0.076, 0.06, 0.06, 0.057, 0.054, 0.054, 0.05, 0.05, 0.05, 0.046, 0.046, 0.046, 0.045, 0.044, 0.043, 0.043, 0.042, 0.042, 0.038, 0.036, 0.033, 0.032, 0.03, 0.029, 0.029, 0.027, 0.026, 0.025, 0.023, 0.023, 0.021, 0.02, 0.019, 0.016, 0.015, 0.014, 0.014, 0.009, 0.008, 0.004
Parade;Jacob Banks;Blues;parade, rain, ooh-ooh, ooh, well-well, woo, uh, let, bulletproof, oh, boo, spell, mile, shoulder, blues, heavy, shoes, shake, bet, think, cool, though, move, coming, still, put, that's, take, i'll, way, see, never, yeah, i'm;0.253, 0.252, 0.163, 0.105, 0.098, 0.094, 0.054, 0.052, 0.046, 0.042, 0.039, 0.035, 0.033, 0.032, 0.031, 0.028, 0.028, 0.024, 0.023, 0.023, 0.023, 0.021, 0.021, 0.02, 0.012, 0.012, 0.01, 0.009, 0.009, 0.009, 0.008, 0.007, 0.006, 0.003
