Title;Artist;Genre;Keywords;Scores
'68 Fastback;Zach Bryan;Country;hatchback, fastback, one-seventeen, freeways, thankfully, tear, parts, flying, sell, built, looks, use, strong, cannot, chooses, piecing, pistons, cleaned, salvage, em, potholes, scraps, deceive, suffering, shelf, going, racing, driver, gut, someone, jokes, disappear, what's, believe, steal, cheap, quick, loving, ran, take, apart, good, worth, act, anything, next, throw, running, years, ass, road, drive, ah, free, found, soul, high, i'm, hit, hey, back, one, well, fuck, like, give, yeah, heart, i've, could, tell, right, ain't, oh, got;0.066, 0.066, 0.066, 0.066, 0.066, 0.059, 0.048, 0.047, 0.045, 0.042, 0.04, 0.036, 0.034, 0.034, 0.033, 0.033, 0.033, 0.033, 0.033, 0.032, 0.031, 0.031, 0.028, 0.028, 0.027, 0.026, 0.026, 0.026, 0.026, 0.025, 0.025, 0.025, 0.024, 0.023, 0.023, 0.021, 0.02, 0.02, 0.02, 0.018, 0.018, 0.017, 0.016, 0.016, 0.016, 0.015, 0.015, 0.015, 0.015, 0.014, 0.014, 0.014, 0.013, 0.013, 0.013, 0.013, 0.012, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.009, 0.008, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007, 0.007, 0.006, 0.005, 0.004
Blue;Zach Bryan;Country;planet, blue, sonnets, beat, whisper, bring, i've, loved, hallelujahs, rarest, bright-on-dark-days, people-pleasing, daydreaming, kindness, jaywalking, chest-talking, grinnin, saves, til, dreams, well, crisp, grown-ass, levi, heals, valley, endless, finest, jean, compares, ruined, beauty, mountain, drag, chasin, blues, everywhere, shade, miles, tear, chase, queen, child, i'll, seems, wide, rather, known, tomorrow, summer, matter, low, heaven, ain't, today, fell, swear, cool, hot, ass, comin, town, dark, seen, close, thing, high, break, light, i'd, fall, oh, world, hard, long, go, man, girl, day, night, like, i'm;0.069, 0.068, 0.061, 0.056, 0.043, 0.038, 0.033, 0.032, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.029, 0.029, 0.028, 0.028, 0.028, 0.027, 0.026, 0.026, 0.025, 0.025, 0.025, 0.025, 0.025, 0.024, 0.024, 0.022, 0.021, 0.021, 0.021, 0.019, 0.019, 0.019, 0.018, 0.018, 0.018, 0.018, 0.017, 0.017, 0.017, 0.017, 0.017, 0.016, 0.016, 0.016, 0.015, 0.015, 0.015, 0.015, 0.015, 0.014, 0.014, 0.014, 0.014, 0.013, 0.013, 0.012, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.009, 0.008, 0.008, 0.008, 0.008, 0.007, 0.005, 0.005
Don’t You (Taylor’s Version) (From The Vault);Taylor Swift;Country;ah, missed, ask, smile, still, much, i've, swore, say, she'll, stare, feel, want, pretend, happy, somewhere, truth, knows, tried, sometimes, mean, love, walk, somethin, sure, nothin, heard, knew, friends, tonight, hate, wish, try, run, i'd, hey, we're, really, know, heart, life, that's, could, wanna, i'll, make, see, go, can't, i'm, like;0.152, 0.055, 0.038, 0.036, 0.026, 0.026, 0.023, 0.02, 0.019, 0.018, 0.017, 0.016, 0.016, 0.015, 0.014, 0.014, 0.012, 0.012, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.009, 0.008, 0.008, 0.007, 0.007, 0.006, 0.006, 0.006, 0.005, 0.005, 0.005, 0.004, 0.004, 0.004, 0.002, 0.002
Water Under The Bridge;Sam Hunt;Country;bridge, wheelies, water, graffiti, muddy, bottles, crank, poppin, dumb, beer, rollin, river, fun, girls, easy, full, broken, young, goin, care, used, oh, hey, jukebox, trespassing, sheriff, unleaded, made, parked, smokes, natty, washed, chevy, life, buddy, folks, hangin, sunday, kissed, bank, ol, yeah, showed, load, sign, nights, still, hide, doin, love, fight, wanted, road, days, guess, know, talk, thing, til, old, much, believe, ooh, girl, good, around, come, let, ain't, back, can't, like;0.1, 0.079, 0.069, 0.057, 0.053, 0.045, 0.042, 0.04, 0.039, 0.036, 0.035, 0.035, 0.033, 0.032, 0.031, 0.031, 0.028, 0.028, 0.027, 0.026, 0.024, 0.021, 0.021, 0.021, 0.021, 0.02, 0.02, 0.019, 0.018, 0.018, 0.018, 0.018, 0.017, 0.015, 0.015, 0.015, 0.015, 0.014, 0.014, 0.014, 0.014, 0.013, 0.013, 0.013, 0.012, 0.011, 0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.009, 0.008, 0.008, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.006, 0.005, 0.005, 0.005, 0.004, 0.004, 0.004, 0.003, 0.003, 0.002
Dancin' In The Moonlight (feat. Lauren Alaina);Chris Lane, Lauren Alaina;Country;moonlight, nowhere, dancin, feels, friday, everybody's, hands, heaven, let's, go, knows, city, lights, everybody, hey, right, girl, bumping, keep, dang, fireflies, bunch, pioneers, bonfire, claw, night, dusty, hottest, cooler, tailgate, letting, sway, kentucky, dj, yeah, county, solid, plays, loaded, cherry, lucky, passing, bare, circle, club, flame, sippin, watching, boys, grow, country, ooh, wild, summer, gold, see, pretty, girls, stars, makes, hot, white, know, can't, feet, getting, road, comin, black, way, feeling, town, sun, boy, something, things, we're, got, love, get, i'm;0.148, 0.137, 0.113, 0.043, 0.04, 0.036, 0.034, 0.03, 0.029, 0.028, 0.028, 0.027, 0.026, 0.026, 0.021, 0.021, 0.021, 0.021, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019, 0.018, 0.018, 0.018, 0.018, 0.018, 0.017, 0.016, 0.016, 0.016, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.014, 0.014, 0.014, 0.014, 0.013, 0.013, 0.013, 0.012, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.008, 0.008, 0.008, 0.008, 0.007, 0.007, 0.006, 0.006, 0.005, 0.003, 0.003, 0.001
Younger Years;Zach Bryan;Country;younger, enjoyin, levi, jean, rough, johnny's, longest, awfully, queen, keepin, lettin, recall, friends, finding, he's, years, downtown, gettin, night, crowd, she'll, drinkin, movin, pain, name, god, strong, end, all-nighter, meaner, tougher, choked, folk, deborah's, tearin, they're, drive, painful, cry, fighter, reminds, rains, high, exactly, someday, two, made, hard, looks, lover, honey, strange, find, spend, walkin, ways, sick, carry, dancin, bar, good, takin, drunk, tired, somewhere, four, stars, see, young, go, lookin, song, town, three, money, place, best, gone, another, alone, home, try, til, old, well, us, better, long, away, put, think, right, i've, let, ain't, take, i'll, got, get, never, one, like, i'm;0.065, 0.061, 0.056, 0.055, 0.042, 0.041, 0.039, 0.039, 0.038, 0.032, 0.032, 0.031, 0.031, 0.031, 0.03, 0.03, 0.029, 0.029, 0.028, 0.028, 0.028, 0.026, 0.025, 0.024, 0.022, 0.022, 0.022, 0.021, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.019, 0.019, 0.019, 0.018, 0.018, 0.017, 0.017, 0.015, 0.015, 0.014, 0.014, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.009, 0.009, 0.008, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006, 0.005, 0.005, 0.005, 0.005, 0.004, 0.004, 0.004, 0.004, 0.003, 0.003, 0.003, 0.003, 0.002, 0.002
Half Of Me;Thomas Rhett, Riley Green;Country;half, wants, cold, beer, frigerator, stocked, decided, mountains, full, already, blue, truth, fight, yeah, sky, hard, supposed, boy, what's, tryna, kinda, beaten, mow, em, alan, dont, that's, tell, woo-hoo, jackson, even, decisions, o'clock, fence, ain't, ruin, wash, fix, sounds, truck, sense, grass, fun, somewhere, five, today, doin, care, hell, best, make, sun, end, two, bad, world, really, old, good, there's, would, said, think, need, can't, cause, one, i'm;0.157, 0.121, 0.113, 0.101, 0.066, 0.062, 0.052, 0.049, 0.032, 0.031, 0.03, 0.029, 0.028, 0.027, 0.026, 0.026, 0.026, 0.024, 0.024, 0.022, 0.022, 0.022, 0.022, 0.021, 0.021, 0.021, 0.019, 0.018, 0.018, 0.018, 0.017, 0.017, 0.017, 0.016, 0.015, 0.015, 0.014, 0.014, 0.013, 0.013, 0.013, 0.013, 0.012, 0.011, 0.011, 0.011, 0.01, 0.009, 0.009, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006, 0.005, 0.005, 0.004, 0.003, 0.003, 0.003, 0.002
Country Again;Thomas Rhett;Country;country, feels, man, good, traded, roots, thought, tennessee, georgia, california, missin, quit, places, i've, four-by-four, reeled, smallmouth, started, home, silverado, cranked, beers, hooked, deer, huntin, since, closet, nashville, amen, sunsets, sure, tucked, eric, cracked, buddies, monster, slipped, dug, plate, l.a, moonlight, watched, wife, change, last, done, they've, boots, built, beside, em, church, thank, hours, things, callin, less, spent, year, daddy, lord, saw, skin, kiss, yeah, oh-oh, ten, night, phone, feet, way, found, fire, cold, time, line, seen, guess, light, ain't, much, ooh, really, love, back, still, even, day, right, feel, need, make, like;0.093, 0.068, 0.045, 0.042, 0.039, 0.034, 0.03, 0.03, 0.028, 0.028, 0.027, 0.026, 0.025, 0.022, 0.021, 0.021, 0.021, 0.02, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019, 0.018, 0.018, 0.018, 0.017, 0.017, 0.017, 0.017, 0.017, 0.017, 0.017, 0.017, 0.016, 0.016, 0.016, 0.016, 0.015, 0.015, 0.015, 0.015, 0.014, 0.014, 0.014, 0.014, 0.013, 0.013, 0.013, 0.013, 0.012, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006, 0.005, 0.005, 0.005, 0.004, 0.004, 0.004, 0.004, 0.002
I Hate Alabama;Conner Smith;Country;alabama, hate, tuscaloosa, houndstooth, skynyrd, lynyrd, braves, stands, might've, crimson, yell, lost, hat, tide, twenty, lord, red, roll, sweet, home, beer, that's, girl, hear, game, un-get, un-buy, un-drive, tennessean, neyland, vols, two, head, cause, drink, things, frat, guess, covered, drove, wish, yard, every, season, seein, weekend, miles, fore, reason, year, see, mad, years, ten, love, could, work, house, road, since, got, say, name, thing, change, break, one, ever, little, heart, go, us, come, get;0.126, 0.124, 0.058, 0.058, 0.058, 0.058, 0.058, 0.05, 0.048, 0.048, 0.047, 0.043, 0.041, 0.041, 0.038, 0.028, 0.028, 0.027, 0.026, 0.024, 0.022, 0.021, 0.02, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019, 0.019, 0.018, 0.018, 0.017, 0.017, 0.017, 0.016, 0.015, 0.015, 0.015, 0.014, 0.014, 0.014, 0.014, 0.013, 0.013, 0.012, 0.012, 0.01, 0.01, 0.009, 0.009, 0.009, 0.009, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006, 0.005, 0.005, 0.005, 0.004, 0.003
Heaven;Jason Aldean;Country;heaven, findin, lyin, hard, we're, arms, found, believe, true, comin, lots, arrive, nothin, need, want, heart, younger, oh, love, standin, whoa, baby, along, waitin, ooh, we've, wild, see, dreams, pick, years, thinkin, somethin, could, mean, feelin, road, young, times, someone, free, yeah, light, change, turn, bad, long, hold, world, good, there's, around, find, away, i've, life, keep, that's, i'm, i'll, come, way, say, take, cause, back;0.068, 0.055, 0.046, 0.042, 0.04, 0.033, 0.027, 0.024, 0.02, 0.02, 0.02, 0.019, 0.019, 0.018, 0.018, 0.017, 0.017, 0.016, 0.016, 0.016, 0.015, 0.014, 0.012, 0.012, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.008, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006, 0.006, 0.005, 0.005, 0.005, 0.005, 0.004, 0.004, 0.004, 0.004, 0.004, 0.004, 0.003, 0.003
If She Wants a Cowboy;Zach Bryan;Country;cowboy, wants, horse, find, nashville, hop, cover, west, train, champion, rode, i'll, stars, sleep, best, spurs, ranching, ranch, tobacco, actual, buckles, worn, y'all, interesting, pretty, fits, bronco, chew, song, heard, saturday, southern, writing, advice, hat, boots, radio, anyway, riding, spin, two, fit, leaving, boys, country, learned, day, good, man, step, sayin, walking, perfect, easy, one, worth, keep, four, throw, alright, care, went, wanted, feet, fight, hands, ride, three, damn, mine, hell, town, got, tryna, ain't, might, something, never, everything, little, head, well, ever, every, around, night, take, wanna, right, get, i'm, know;0.166, 0.077, 0.076, 0.064, 0.055, 0.042, 0.042, 0.039, 0.037, 0.036, 0.035, 0.032, 0.03, 0.026, 0.024, 0.021, 0.021, 0.021, 0.021, 0.021, 0.02, 0.02, 0.02, 0.02, 0.019, 0.018, 0.018, 0.018, 0.017, 0.017, 0.016, 0.016, 0.016, 0.015, 0.015, 0.014, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.012, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.008, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.005, 0.005, 0.005, 0.004, 0.004, 0.004, 0.003, 0.002, 0.002
Pink Champagne;Carrie Underwood;Country;buzzed, pink, champagne, clock, bottle, countin, gets, wishin, rush, sugar, hurry, sip, lips, cuttin, anytime, kiss, sweet, ain't, cause, whoa, love, thing, last, over-serving, bender, much, hurt, bad, hungover, adrenaline, could, call, intoxicated, round, want, wantin, bartender, sway, floating, every, good, cutting, addicted, rose, pouring, flyin, sober, spinning, rising, baby, need, fix, reach, mm, wine, strong, making, oh, got, open, room, right, wrong, boy, please, tonight, pain, feeling, one, something, mine, stay, get, ooh, go, even, yeah, still, wanna, can't, never, i'm, like;0.09, 0.067, 0.063, 0.059, 0.052, 0.048, 0.042, 0.037, 0.035, 0.033, 0.032, 0.032, 0.03, 0.03, 0.027, 0.025, 0.024, 0.024, 0.023, 0.023, 0.02, 0.019, 0.018, 0.018, 0.018, 0.017, 0.016, 0.016, 0.016, 0.016, 0.015, 0.015, 0.015, 0.014, 0.014, 0.014, 0.014, 0.014, 0.014, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.009, 0.009, 0.008, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006, 0.005, 0.005, 0.005, 0.005, 0.005, 0.004, 0.004, 0.003, 0.003, 0.003, 0.002, 0.001
So Many Skies;Caroline Jones, Matthew Ramsey;Country;world, thinks, lucky, richness, skies, sailed, sings, prove, many, i've, turning, known, adventure, god, disarmed, salt-driven, scanning, landfall, life, dreams, dream, living, tides, blur, round, free, partner, seen, becoming, writing, horizon, shades, she'd, sunrise, sunset, nothing, turns, longer, much, guitar, lived, we'd, weather, sea, lines, feel, songs, funny, spent, ooh, matter, stars, years, arms, waiting, mean, cause, he's, fell, feet, looking, whole, we'll, lose, hands, way, mine, hand, got, thought, used, boy, never, there's, we're, eyes, man, every, tell, i'll, could, need, oh, one, see, yeah, i'm, like;0.078, 0.072, 0.052, 0.05, 0.049, 0.045, 0.043, 0.033, 0.032, 0.032, 0.03, 0.026, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.023, 0.023, 0.023, 0.023, 0.023, 0.021, 0.02, 0.02, 0.02, 0.02, 0.02, 0.019, 0.019, 0.019, 0.018, 0.018, 0.018, 0.017, 0.016, 0.016, 0.016, 0.016, 0.016, 0.015, 0.015, 0.015, 0.015, 0.014, 0.014, 0.014, 0.014, 0.013, 0.012, 0.012, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.007, 0.007, 0.007, 0.007, 0.007, 0.006, 0.005, 0.005, 0.005, 0.005, 0.004, 0.004, 0.004, 0.003, 0.003, 0.002
Coulda Loved You Longer;Adam Doleac;Country;i'da, coulda, loved, met, sooner, wish, longer, farther, wastin, instead, memories, favorite, spend, complain, bit, except, reason, little, babe, would, nothin, forever, woulda, sunsets, napkin, thing, change, shinin, askin, downtown, i'd, looked, yesterday, crowd, sides, happened, wrote, go, time, us, there's, nights, even, number, back, got, kiss, felt, lonely, bet, help, together, feels, without, late, different, mine, hand, one, eyes, better, stay, gonna, every, still, know, like, oh, yeah, can't;0.32, 0.288, 0.194, 0.154, 0.142, 0.125, 0.122, 0.046, 0.039, 0.031, 0.029, 0.029, 0.028, 0.028, 0.026, 0.024, 0.017, 0.015, 0.015, 0.014, 0.014, 0.014, 0.014, 0.014, 0.014, 0.012, 0.012, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.011, 0.011, 0.01, 0.01, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.006, 0.006, 0.005, 0.005, 0.005, 0.005, 0.005, 0.004, 0.004, 0.003, 0.003, 0.002, 0.002, 0.002
Beauty in the Struggle;Bryan Martin;Country;beauty, struggle, sifting, rubble, diamond, ask, behind, girl, help, ain't, trouble, dismantled, carries, left, mistreated, find, crumble, fighter, picking, watched, pieces, lied, share, handle, weight, one, gets, friend, that's, road, whole, seen, yeah, hell, real, world, cause, there's, good, heart, around, could, way, never;0.14, 0.118, 0.096, 0.082, 0.055, 0.044, 0.042, 0.041, 0.04, 0.037, 0.036, 0.032, 0.032, 0.03, 0.03, 0.027, 0.027, 0.026, 0.026, 0.023, 0.021, 0.02, 0.019, 0.018, 0.018, 0.015, 0.015, 0.014, 0.014, 0.014, 0.013, 0.013, 0.012, 0.012, 0.011, 0.01, 0.009, 0.009, 0.008, 0.008, 0.008, 0.007, 0.006, 0.005
Better Off;Hayden Coffman;Country;beer, better, taillights, goodyear, soakin, rack, curls, cheers, rearview, ounce, sittin, tires, mountains, twelve, dive, thirty, bottles, buddy, sippin, drinkin, neck, mirror, ninety-nine, bar, ice, broke, gone, doin, blue, cold, damn, long, hand, i'm, wall, empties, tops, minding, thinkin, floorboard, cracked, tab, tore, packed, putting, driveway, heart, twist, seeing, booth, pedal, table, dude, hat, night, boots, bags, want, corner, half, gonna, funny, walking, lit, ready, drink, right, care, til, em, new, home, done, told, like, there's, yeah, say, cause, go, back, time, got;0.128, 0.079, 0.056, 0.056, 0.053, 0.053, 0.05, 0.048, 0.047, 0.047, 0.046, 0.042, 0.042, 0.042, 0.041, 0.041, 0.04, 0.039, 0.036, 0.033, 0.033, 0.032, 0.032, 0.03, 0.029, 0.026, 0.026, 0.026, 0.025, 0.022, 0.021, 0.021, 0.021, 0.02, 0.02, 0.019, 0.018, 0.018, 0.017, 0.017, 0.016, 0.016, 0.016, 0.015, 0.015, 0.015, 0.014, 0.014, 0.014, 0.014, 0.014, 0.013, 0.013, 0.013, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.01, 0.009, 0.008, 0.008, 0.008, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.005, 0.005, 0.005, 0.003, 0.003, 0.003, 0.003, 0.003, 0.002
Blessed & Free;Kane Brown, H.E.R.;Country;blessed, already, free, oh-oh, long, blessings, intentions, beats, hurting, running, count, still, yeah, alive, nobody, i'm, ooh-ooh, eyes, nothing, stop, tryna, moonshine, lows, ever, need, rebel, good, hopes, fights, struggle, days, heart, cause, moonlight, beside, try, travel, closed, two, sippin, old, highway, let, dust, ain't, mind, lay, nights, ways, straight, see, low, goes, keep, dreams, nothin, alright, slow, drive, sleep, i've, got, oh, lost, head, ooh, there's, tell, time;0.24, 0.119, 0.101, 0.058, 0.051, 0.046, 0.046, 0.044, 0.042, 0.037, 0.029, 0.028, 0.027, 0.027, 0.024, 0.022, 0.022, 0.022, 0.021, 0.02, 0.02, 0.02, 0.019, 0.018, 0.016, 0.016, 0.015, 0.015, 0.015, 0.015, 0.015, 0.014, 0.014, 0.014, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.011, 0.011, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.009, 0.009, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008, 0.007, 0.006, 0.006, 0.006, 0.005, 0.005, 0.004, 0.003
The Outskirts;Zach Bryan;Country;outskirts, outdoes, schemin, fireflies, grin, driveway, swear, dawn, august, god, home, swing, smile, i'll, day, house, hope, drinkin, old, turn, fresh-cut, brew, pinkish, hold, skirts, chimes, crickets, sundown, well, tailgate, fifth, one, we'll, tune, beatin, town, belly, oh, way, yard, snow, june, laughin, porch, smell, crowd, she'll, trees, skies, grass, we're, lady, take, mornin, lovin, moon, shake, put, may, sing, wind, kids, sound, move, kind, bring, drink, care, nothin, city, drive, make, sun, want, line, tonight, inside, hear, cause, there's, mind, around, heart, ain't, say, come, like;0.142, 0.066, 0.066, 0.059, 0.055, 0.053, 0.051, 0.041, 0.041, 0.037, 0.034, 0.03, 0.029, 0.029, 0.027, 0.027, 0.026, 0.026, 0.022, 0.022, 0.022, 0.022, 0.022, 0.021, 0.021, 0.021, 0.021, 0.021, 0.02, 0.019, 0.019, 0.017, 0.017, 0.017, 0.017, 0.017, 0.017, 0.016, 0.016, 0.016, 0.016, 0.016, 0.016, 0.015, 0.014, 0.014, 0.014, 0.014, 0.014, 0.013, 0.013, 0.013, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.01, 0.01, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.008, 0.008, 0.008, 0.008, 0.008, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006, 0.005, 0.004, 0.004, 0.004, 0.002
Made;Spencer Crandall;Country;soulmates, they're, found, made, forged, downs, ups, bounce, bend, work, choose, takes, making, even, tired, cause, fire, we're, break, day, lways, simmer, headstrong, pedestals, expectations, thanks, exes, better, common, slam, written, every, showing, trade, kissing, forth, doors, match, back, fix, magic, knock, it'll, growing, single, find, till, fighting, learn, story, yeah, kinda, moment, ground, finally, falling, perfect, heaven, true, car, stars, get, we'll, heard, know, i'd, ain't, wrong, took, someone, stay, em, there's, put, wanna, right, i'll, say, go, one;0.256, 0.111, 0.101, 0.078, 0.051, 0.047, 0.047, 0.045, 0.038, 0.033, 0.033, 0.03, 0.03, 0.03, 0.029, 0.025, 0.023, 0.023, 0.021, 0.02, 0.02, 0.02, 0.02, 0.02, 0.018, 0.017, 0.017, 0.016, 0.016, 0.016, 0.015, 0.014, 0.014, 0.014, 0.014, 0.014, 0.013, 0.013, 0.012, 0.012, 0.012, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007, 0.007, 0.007, 0.007, 0.006, 0.006, 0.005, 0.005, 0.004, 0.004, 0.004, 0.003, 0.003, 0.003
Who Are You Kidding?;Matt Schuster;Country;grass, kiddin, seasons, grows, however, crazy, written, onto, holdin, hold, memory, green, change, takes, sit, stars, little, harsh, somebody, move, babe, rhyme, complain, help, fingertips, planned, startin, selfish, expect, dressed, someone, wrong, oh, scary, strings, heart, think, ain't, moved, question, right, drivin, losin, can't, long, reasons, tear, girl, tryin, apart, perfect, nah, learn, wake, every, part, reason, pick, dream, thinkin, gave, feelin, feelings, go, name, bout, let, i'd, run, new, everything, find, love, i'm, yeah, put, come, baby, could, get, back, like;0.063, 0.054, 0.047, 0.045, 0.039, 0.034, 0.031, 0.027, 0.027, 0.026, 0.024, 0.023, 0.022, 0.021, 0.021, 0.02, 0.019, 0.019, 0.019, 0.018, 0.018, 0.018, 0.017, 0.017, 0.017, 0.017, 0.016, 0.016, 0.016, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.014, 0.014, 0.014, 0.014, 0.013, 0.013, 0.013, 0.012, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.009, 0.009, 0.008, 0.007, 0.007, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006, 0.005, 0.005, 0.005, 0.004, 0.004, 0.004, 0.003, 0.003, 0.002
Right Now the Best;Zach Bryan;Country;someway, pine, they're, somehow, slow, best, today, grandfather's, throatful, everywhere's, maps, rest, hopeful, ramblin, crashed, coastin, awfully, different, grandma, braggin, healed, itchin, fiendin, smooth, world's, hatin, wrong, oh, thinks, happens, rush, right, waves, cross, lying, whatever, gonna, war, keeps, songs, wild, perfect, cannot, somewhere, everyone, tomorrow, waitin, ain't, chance, skin, he's, think, already, one, water, dance, looking, next, crazy, miss, song, need, times, damn, days, tonight, someone, going, whole, okay, friends, way, gone, take, lost, bout, end, told, long, always, even, heart, night, like, back, cause, love, i'm, got;0.057, 0.051, 0.037, 0.036, 0.036, 0.032, 0.029, 0.029, 0.029, 0.029, 0.029, 0.028, 0.027, 0.026, 0.026, 0.026, 0.026, 0.025, 0.025, 0.025, 0.024, 0.024, 0.023, 0.022, 0.022, 0.021, 0.021, 0.02, 0.02, 0.02, 0.019, 0.018, 0.018, 0.017, 0.017, 0.017, 0.016, 0.016, 0.016, 0.016, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.015, 0.014, 0.014, 0.014, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013, 0.012, 0.012, 0.012, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.01, 0.009, 0.009, 0.009, 0.009, 0.008, 0.008, 0.007, 0.007, 0.006, 0.005, 0.004, 0.004, 0.004, 0.003, 0.003
