Title;Artist;Genre;Track URL;Lyrics;Language;Language Score
Going Down South;The Black Keys;Blues;https://open.spotify.com/track/3PeDt4Q8YIFDRph5UhxAaA;"I'm going down south, I'm going down south
Going down south, I'm going down south
Chilly wind don't blow
I'm going with you, babe, I'm going with you, babe
Going with you, babe, I'm going with you, babe
Don't care where you go
Some other man, some other man
Some other man, some other man
He's always hanging around
I'd rather be dead, rather be dead
Rather be dead, I'd rather be dead
Six feet in the ground
I'm going down south, going down south
Going down south, I'm going down south
Chilly wind don't blow";en;0.9999972662906812
Souled Out On You;Robert Finley;Blues;https://open.spotify.com/track/7ITdt0me2VEjKchX3iPzKp;"Souled out on you
Sad, but it's true
After all we've been through
I'm souled out on you
You put me through hell
Got me under your spell
No matter how hard I try to hide it
The whole world can tell
It just ain't no way
No matter how hard I pray
There ain't nothin' I can say
That's gonna save us today
I'm souled out on you
It's sad, but it's true
After all we've been through
I'm souled out on you
I don't understand
You got my heart in your hand
I'm doing the best that I can
But I'm only a man
Ain't it a pity?
Ain't it a cryin' shame?
I'm in the heart of the city
And I still feel the pain
Souled out on you
It's sad, but it's true
After all we've been through
I'm souled out on you
Ain't it a pity?
It's a cryin' shame
I'm in the heart of the city
And I still feel the same
Souled out on you
Sad, but it's true
After all we done been through
I'm just souled out on you
Souled out on you
It's sad, but it's true
After all we done been through
I'm souled out on you
Souled out
Souled out
Souled out over you, yeah";en;0.999996728340498
Black Myself;Amythyst Kiah;Blues;https://open.spotify.com/track/2BbFd78ykW1pnR5vZreQkr;"I wanna jump the fence and wash my face in the creek
But I'm black myself
I wanna sweep that gal right off her feet
But I'm black myself
I'm tired of walkin' 'round with no shoes on
'Cause I'm black myself
And your precious god ain't gonna bless me
'Cause I'm black myself
Is you washed in the blood of your chattel?
'Cause the lamb's rotted away
When they stopped shipping work horses
They bred their own anyway, ooh
Black myself
I don't pass the test of the paper bag
'Cause I'm black myself
I pick the banjo up and they sneer at me
'Cause I'm black myself
You better lock your doors when I walk by
'Cause I'm black myself
You look me in my eyes but you don't see me
'Cause I'm black myself
Is you washed in the blood of your chattel?
'Cause the lamb's rotted away
When they stopped shipping work horses
They bred their own anyway, ooh
Black myself
Black myself
I don't creep around, I stand proud and free
'Cause I'm black myself
I go anywhere that I wanna go
'Cause I'm black myself (Black myself)
I'm surrounded by many lovin' arms
'Cause I'm black myself (Black myself)
And I'll stand my ground and smile in your face
'Cause I'm black myself
I washed away my blood and tears
I've been born brand new
There's no more work horses
But still some work to do, yeah
'Cause I'm black myself (Black myself)
'Cause I'm black myself (Black myself)
'Cause I'm black myself, black myself, black myself, black myself, black myself (Black myself), black myself
Black myself
'Cause I'm black my—, black my—
Black myself";en;0.9999953038191116
Mind’s Eye;Joe Bonamassa;Blues;https://open.spotify.com/track/19vLbTpnjkQtcCTaHVPQUm;"Help
I'm going down
I need someone to slow the spiral down
Help
These are trying times
And I shouldn't be calling on someone else's dime
Well, say
Say what you really mean
And don't mince words or hide intentions in between
Listen
Better listen before you talk
I can't go back through there after the door is locked
Reach up, dig deeper
You can't save the ones who can't save themselves
Our wholе damn world comes crashing down around us
I know you've found someonе else
So don't be so furious
Remember there's two sides
I'd be curious
If you'd keep a mind's eye
Wanted
A way to break through
When you're desperate and lonely, there's nothing you can do
I'm haunted
By memories you can't see
A place that's easy to get to, but hard as hell as to leave
Reach up, dig deeper
You can't save the ones who can't save themselves
Our whole damn world comes crashing down around us
I know you've found someone else
So don't be so furious
Remember there's two sides
And I'd be curious
If you'd keep a mind's eye
Reach up, dig deeper
You can't save the ones who can't save themselves
Our whole damn world comes crashing down around us
I know you've found someone else
So don't be so furious
Remember there's two sides
I'd be curious
If you'd keep a mind's eye
Please help
I'm going down
I need someone to slow the spiral down";en;0.9999974315085596
Poor Boy a Long Way From Home;The Black Keys;Blues;https://open.spotify.com/track/3YZFMK3zwAGbCMZQGWY47J;"Poor boy, I'm a long way from home
Poor boy, I’m a long way from home
Poor boy, I'm a long way from home
World gonna do me no
Babe, I can't stay here long
No, no, no
Poor boy, I’m a long way from home
Where the world can't do me no
Poor boy, I'm a long way from home
Poor boy, I'm a long way from home
Poor boy, I'm a long way from home
Where the world can't do me no";en;0.999997238774068
Make It Rain;Gov't Mule;Blues;https://open.spotify.com/track/4FLsABaj5iQbOfp7akXEn5;"Took all my money, my best friend
You know the story, here it comes again
I have no pride, I have no shame
Gotta make it rain, make it rain
Now since you're gone, deep inside it hurts
Just another sad guest on this dark Earth
I want to believe in the mercy of the world again
Make it rain, make it rain
Night's too quiet, stretched out alone
I need the whip of thunder and the wind's dark moan
I'm not Abel, I'm just Cain
Open up the heavens, make it rain
I'm close to heaven, crushed at the gate
They sharpen their knives on my mistakes
What she done, you can't give it a name
Gotta make it rain, make it rain
Without her love, without her kiss
Hell can't burn me much more than this
I'm burning with all this pain
Put out the fire, make it rain
I'm born to trouble, born to fate
Inside a promise I can't escape
It's the same old world, nothing looks the same
Gotta make it rain, make it rain
You've got to make it rain
Oh, you've got to make it rain
Make it rain, got to make it rain
Oh, make it rain
Make it rain
You've got to make it rain
Make it rain";en;0.9999967790467692
High And Lonesome;Robert Plant, Alison Krauss;Blues;https://open.spotify.com/track/4zDNTiMEuHCIzodoJQ2Sie;"Take me down, down to the river
Lift me high, up on the flood
And there will be no turning back
And I must find my love
I must find my love
I must find my love
Well, now, meet me in the bottom
With the serpents and the vine
And I must shout out loud
Will she still be mine?
Will she still be mine?
Will she still be mine?
I shall not rest upon the highway
I will not tire nor despair (I will not tire nor despair)
I shall conspire, I will be there
I'll make a deal, I'll dance in hеll
I'll sing out loud and louder yell (I'll sing out loud and yell)
I will opеn every, every door, yeah
Unconversated, out in the wild words
With the lion and the dove
And if I should lose my mind
There, I must find my love
There, I must find my love
There, I must find my love
Leave me high, high on the mountain
With the naked and the free
And if I should bare my soul
Would she still care for me?
Would she still care for me?
Would she still care for me?
Would she still care for me?
I shall not rest upon the highway
I will not tire nor despair (I will not tire nor despair)
I shall conspire, I will be there
I'll make a deal, I'll dance in hell
I'll sing out loud and louder yell (I'll sing out loud and yell)
I will open every door, oh
I'm lost out on the ocean
And I will calm the seven seas
So all alone, so high and lonesome
Does she still think of me?
Does she still think of me?
Does she still think of me?";en;0.9999962571760892
How High;The Record Company;Blues;https://open.spotify.com/track/0UqNIatgH3yQrJwqajOM2G;"Coming up from the shelter
Rolling out on your own
Rising out of the shadows
A lot of highway to go
And if you had to drop it would you?
Break it up, make it stop, could you?
Or would the bottom tear a hole in your soul?
'Cause if you wanna raise the ceiling
Gotta do something you've been feeling
'Cause if you wait too long the door's gonna close, woah
How high, how high, how high
Do you wanna fly?
So high, so high, thought I died
And came back to life
In a breakaway minute
You gotta dig in or fight
Are you in it to win this?
Not just along for the easy ride, oh
If in the morning you see rain
Let it baptize you again
Don't lose your faith
Don't lose your place
You choose your way, woah
How high, how high, how high
Do you wanna fly?
So high, so high, thought I died
And came back to life
How high?
How high?
How high, how high, how high
Do you wanna fly?
So high, so high, thought I died
And came back to life
How high, how high, how high
Do you wanna fly?
How high, how high, how high
Do you wanna fly?";en;0.9999979534766154
Step In;Cedric Burnside;Blues;https://open.spotify.com/track/1b44sEBiYyl35EbYDgNGfk;"I feel like a bird with broken wings
I can't fly back up in the trees
Or like a addict fiendin' for crack
Tryin' to break the habit, but it keep on comin' back
Or like a child cryin' all night long
Hungry for some food, but it's all gone
Please Lord, step in
I feel like I'm lost and can't be found
A boat with a hole that's slowly sinkin' down
Or like a bully that put me to the test
Got me paranoid and I can't get no rest
Please Lord, step in
Please Lord, step in";en;0.9999981018341444
Parade;Jacob Banks;Blues;https://open.spotify.com/track/6qzA5ZUivvw1FCZJSVYoNE;"Well-well, well-well
Is it the way I move? (Uh)
That's why you think I'm bulletproof (Uh)
Or is it in my cool?
You think I'll put a spell on you
Boo!
Oh, let it rain (Woo, ooh, ooh-ooh)
It won't rain on my parade
Oh, let it rain, ooh, ooh-ooh, ooh
It won't rain on my parade
Take a mile in my shoes, uh
Bet you'll never shake the blues
Though it's heavy on my shoulder
Still you see me coming through, yeah
Oh, let it rain (Woo, ooh, ooh-ooh)
It won't rain on my parade
Oh, let it rain, ooh, ooh-ooh, ooh
It won't rain on my parade
Oh, let it rain (Woo, ooh, ooh-ooh)
It won't rain on my parade
Oh, let it rain (Woo, ooh, ooh-ooh)
It won't rain on my parade";en;0.9999988385194908
