Title;Artist;Genre;Track URL;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;time_signature
Someday;Alabama Shakes;Blues;https://open.spotify.com/track/5MS6qXLKnY68DMlliiwfTX;0.458;0.436;9.0;-6.399;1.0;0.0294;0.29;0.662;0.107;0.217;118.017;199027.0;3.0
Notches;Joe Bonamassa;Blues;https://open.spotify.com/track/37OvIUoTAlKsuO3nTGSLSf;0.47;0.801;2.0;-8.24;0.0;0.0314;0.00487;0.00358;0.0752;0.366;81.999;423667.0;4.0
See the Moon (featuring Lamar Williams Jr. and Sharisse Norman);North Mississippi Allstars, Lamar Williams Jr., Sharisse Norman;Blues;https://open.spotify.com/track/6XYkGbWTkF3IUThub6DVfh;0.762;0.558;10.0;-9.762;0.0;0.111;0.526;0.000326;0.104;0.626;110.975;201627.0;4.0
Set Sail part I (featuring Lamar Williams Jr.);North Mississippi Allstars, Lamar Williams Jr.;Blues;https://open.spotify.com/track/2lt3INbrnQEZz57tKA05Zy;0.797;0.273;5.0;-12.929;1.0;0.126;0.647;3.85e-06;0.101;0.635;88.024;297893.0;4.0
Crawling Kingsnake - Edit;The Black Keys;Blues;https://open.spotify.com/track/1JM1iGpu8HqprmrKi1ukuP;0.395;0.824;5.0;-5.659;0.0;0.0317;0.0516;0.395;0.206;0.514;83.422;232049.0;4.0
Oh Betty;Fantastic Negrito;Blues;https://open.spotify.com/track/1caexDoRB92w8ph8YLYQvu;0.551;0.635;0.0;-7.927;1.0;0.0383;0.164;0.000307;0.24;0.534;142.03;236219.0;4.0
Magnolia Blues;Adia Victoria;Blues;https://open.spotify.com/track/168mDRF95TUgri1Kbl9GYA;0.627;0.411;0.0;-10.728;1.0;0.0381;0.538;7.54e-05;0.111;0.304;82.014;209547.0;4.0
Ain’t Killed Me Yet;Adia Victoria;Blues;https://open.spotify.com/track/06SriLLbBIQos2LyqeNXw3;0.683;0.533;7.0;-10.771;1.0;0.0377;0.272;0.00282;0.102;0.534;128.975;181093.0;4.0
Natural Blues;Zucchero, Mahmood;Blues;https://open.spotify.com/track/5zakPCpl4O2v1UEow7Qv29;0.652;0.421;7.0;-8.78;0.0;0.0302;0.716;6.21e-05;0.0995;0.387;108.094;247497.0;4.0
Sleep On It;The Dip;Blues;https://open.spotify.com/track/3BZqRfYykl706UFrdR7byF;0.4;0.522;6.0;-7.366;1.0;0.0328;0.542;0.0;0.661;0.849;120.022;182813.0;4.0
I Want My Crown;Eric Gales, Joe Bonamassa;Blues;https://open.spotify.com/track/2in7I4NcwamHLIEMh4V8o5;0.707;0.687;1.0;-4.728;1.0;0.0422;0.029;0.000138;0.142;0.936;133.113;259227.0;4.0
Fancy Drones (Fracture Me);Amythyst Kiah;Blues;https://open.spotify.com/track/1l9LNsjdOQ3Wfkmnsjetxj;0.858;0.395;2.0;-8.739;1.0;0.0465;0.233;0.000559;0.164;0.616;120.001;217627.0;3.0
The Heart That Never Waits;Joe Bonamassa;Blues;https://open.spotify.com/track/4sb2JUFkGwT9jfzM7lcQBI;0.513;0.854;11.0;-6.075;0.0;0.0394;0.274;0.000206;0.327;0.504;88.014;351253.0;4.0
Heavy Load;Gov't Mule;Blues;https://open.spotify.com/track/4ZgLOQB66wNk4VNB9H98E2;0.698;0.0813;4.0;-12.993;0.0;0.0415;0.837;0.000824;0.154;0.254;65.059;438840.0;4.0
Louise;The Black Keys;Blues;https://open.spotify.com/track/1hSs0tmaoUt9YPxjr0l9oc;0.274;0.739;7.0;-6.606;1.0;0.0383;0.0112;0.00549;0.393;0.368;93.22;263653.0;4.0
Hit 'Em Back;Shemekia Copeland, Kenny Wayne Shepherd, Robert Randolph, Tony Coleman;Blues;https://open.spotify.com/track/7vneiArcRtUop1FpF88CFd;0.624;0.935;0.0;-4.157;1.0;0.0455;0.003;1.32e-06;0.171;0.935;125.008;273982.0;4.0
Black Leaves;KIRBY;Blues;https://open.spotify.com/track/2pcZglQR5vcE8z09qLaQoV;0.66;0.254;5.0;-9.643;0.0;0.0454;0.783;0.0;0.362;0.393;136.186;104280.0;4.0
NOT A GOOD MAN WALKING;Liam St. John;Blues;https://open.spotify.com/track/679ZxPQna36dJmMRvhFwU9;0.597;0.615;1.0;-5.983;0.0;0.192;0.0171;0.000341;0.136;0.67;130.137;176923.0;4.0
Lost & Lonesome;Buffalo Nichols;Blues;https://open.spotify.com/track/5nVK0rgBaHqRioBoWBWS8f;0.363;0.249;1.0;-11.431;1.0;0.0346;0.926;0.000119;0.107;0.24;86.741;222853.0;4.0
Real Contender;The Dip;Blues;https://open.spotify.com/track/7LNV7SS5RPQShWMenVPBH9;0.661;0.506;7.0;-7.889;1.0;0.0256;0.138;0.0;0.0944;0.739;83.019;201933.0;4.0
Never Leave You;The Record Company;Blues;https://open.spotify.com/track/1sKWhJrFT6PGoXIo2mkgKq;0.662;0.735;9.0;-6.999;1.0;0.0288;0.0269;0.00214;0.0871;0.889;114.009;236067.0;4.0
The Man Was Burning;Jake Blount;Blues;https://open.spotify.com/track/5X8hjt33EdQ8KUaUzcTNQv;0.703;0.513;5.0;-7.246;0.0;0.183;0.426;0.000116;0.157;0.889;78.573;155665.0;4.0
They Go Low;Fantastic Negrito;Blues;https://open.spotify.com/track/1ldOtL1REeAmYMQAA0HOoH;0.602;0.603;11.0;-7.953;1.0;0.0284;0.492;2.72e-06;0.383;0.496;74.923;222685.0;4.0
Blues All Day Long - Live at the Fillmore, San Francisco, 1994;Eric Clapton;Blues;https://open.spotify.com/track/5mpXxMw2Kk6IptpDvxN7kL;0.171;0.841;9.0;-7.093;1.0;0.0975;0.194;0.00178;0.98;0.596;70.99;259600.0;4.0
Feel Like Going Home;Miko Marks, The Resurrectors;Blues;https://open.spotify.com/track/3MtPnzu1Q0PatrrMHsdfCB;0.507;0.646;3.0;-8.197;1.0;0.0288;0.331;0.00286;0.0883;0.856;155.046;275055.0;4.0
Click Click Domino (feat. Marcus King);Ida Mae, Marcus King;Blues;https://open.spotify.com/track/4CYl5j3ugKHnfuzilmMxge;0.465;0.751;2.0;-5.801;1.0;0.126;0.279;0.00764;0.208;0.618;149.501;203100.0;4.0
Good To Be (Home Again);Keb' Mo';Blues;https://open.spotify.com/track/6Ien9KiFefrlQAQlZUruZP;0.802;0.479;9.0;-7.933;1.0;0.0531;0.209;0.00547;0.111;0.665;90.015;210800.0;4.0
Whole World's Got The Blues;Eric Bibb, Eric Gales;Blues;https://open.spotify.com/track/025MO5zsytvjgjZiuokOyS;0.646;0.495;0.0;-9.429;1.0;0.0399;0.0457;0.0779;0.109;0.531;108.222;333989.0;3.0
Fireman Ring The Bell;Hank Williams, Jr.;Blues;https://open.spotify.com/track/4NBeMzgCpDDCz9oCmRTekM;0.701;0.787;2.0;-5.948;1.0;0.0397;0.0967;0.195;0.228;0.719;104.332;328387.0;4.0
Have You Ever Loved a Woman - Live at the Fillmore, San Francisco, 1994;Eric Clapton;Blues;https://open.spotify.com/track/2mj1CRnRDJOPa9V32CU7nJ;0.232;0.681;0.0;-7.805;1.0;0.0726;0.263;1.14e-05;0.82;0.561;177.984;411720.0;3.0
Other Side of Goodbye;Matt Andersen;Blues;https://open.spotify.com/track/1hMyjL6US0O882EZJ6tRih;0.588;0.215;5.0;-8.219;1.0;0.0415;0.83;0.0;0.378;0.53;94.587;154227.0;3.0
Standin' Round Crying - Live at the Fillmore, San Francisco, 1994;Eric Clapton;Blues;https://open.spotify.com/track/4a6uRtpcpDrl6Tl11IMQbq;0.252;0.718;10.0;-6.935;1.0;0.0586;0.315;0.000568;0.72;0.549;140.536;291533.0;3.0
